pid2,status,ltt,lng,name,longitude,latitude
32749.0,1.0,5.74461,73.21683,Fohdhoo School,73.21682676763842,5.744611295517371
24565.0,1.0,2.92436,72.89521,Rinbudhoo School,72.89520958195152,2.924363072721659
72502.0,1.0,5.49034,73.41122,Lh.Atoll education Centre,73.41122190365907,5.490343133465918
70453.0,1.0,5.18782,73.12249,Dhonfanu School,73.12248713129247,5.187822751475881
23859.0,1.0,2.27174,72.93017,Hirilandhoo School,72.93017355586771,2.271743519537666
70606.0,1.0,5.21602,73.12314,Kihaadhoo School,73.12313890187258,5.216018203686179
33479.0,1.0,5.88253,73.39945,Kudafaree School,73.39944510259383,5.882533025921356
76670.0,1.0,5.76637,73.41234,Noonu Atoll School,73.41234439908392,5.766368998545505
40729.0,1.0,6.5496,72.95309,HDH Atholhu Madharusa,72.95309277980527,6.549603387639349
50058.0,1.0,0.55692,73.24145,GS200,73.24145101666228,0.556922384870293
88071.0,1.0,6.70113,73.11873,Nolhivaranfaru School,73.11873200832189,6.701133679197077
56052.0,1.0,2.16658,73.06666,Kinbidhoo School,73.06665938021258,2.166577169587801
73976.0,1.0,5.56207,73.04463,Rasmaadhoo School,73.04463382319673,5.56207234018994
56760.0,1.0,2.25416,73.21352,Gaadhiffushi School,73.21352185821227,2.254160988366833
47746.0,1.0,0.50011,73.5485,Konday School,73.54849613887988,0.500111330408409
89143.0,1.0,6.74686,73.05092,Finey School,73.05092105494349,6.746854842319796
0.0,2.0,2.67161,72.8947,Ixcel Centre for Professional Studies,72.89469965699652,2.671609461981812
105426.0,1.0,4.1727,73.48574,Muhyiddin Pre School,73.48574282000024,4.172696828
108303.0,1.0,4.17205,73.51188,Galolhu School,73.51188418216051,4.172045578269603
108334.0,2.0,4.17061,73.50915,Maldives National University,73.509148564169,4.17061185753944
108338.0,1.0,4.16968,73.50905,Villa International High School,73.5090485300002,4.169675152000017
108338.0,2.0,4.16952,73.50905,Villa College,73.50904813861955,4.169522924984912
108427.0,1.0,4.17097,73.51104,Imaduddin School,73.51103636677645,4.170970822210568
108428.0,2.0,4.17058,73.51036,Maldives Polytechnic,73.51036286320974,4.170584049998263
108568.0,1.0,4.17199,73.51499,Finland International School,73.51499201266198,4.171989255569862
108722.0,1.0,4.17121,73.51476,Kalaafaanu School,73.51475992723644,4.171206355748346
108727.0,2.0,4.17442,73.51166,Avid College,73.51166521826829,4.174421254382463
108810.0,1.0,4.17148,73.50739,Ghiyasuddin International School,73.5073928894863,4.171474726019853
108833.0,1.0,4.17134,73.50944,Billabong High International School,73.50943557007336,4.171335040381896
108846.0,1.0,4.17202,73.50886,Ahmadhiyya International School,73.50886368855825,4.172022047394737
109545.0,1.0,4.17293,73.50953,Jamaluddin School,73.50953026802678,4.172933636989345
109789.0,2.0,4.17335,73.50894,Maldives Business School,73.5089393869614,4.173346747478297
110148.0,1.0,4.17399,73.50183,Thaajuddeen School,73.50183256972139,4.173986588462744
